accuracy	0.826786	0.825311	0.828923	0.820447	0.826491	0.830324	0.829808	0.832977	0.826786	0.830029	0.827080	0.828923	0.828260	0.825975	0.830545	0.832240	0.832756	0.832093	0.830987	0.829513	0.830545	0.829808	0.827154	0.829660	0.830250	0.831134	0.834083	0.828628	0.832977	0.830913	0.835778	0.828481	0.830987	0.827891	0.829292	0.832019	0.829513	0.828039	0.835336	0.830397	0.831577	0.830397	0.827007	0.825533	0.829292	0.828702	0.834230	0.832461	0.836515	0.828481	0.829867	0.002905
recall1	0.702482	0.722370	0.694590	0.713012	0.723385	0.717749	0.717060	0.700382	0.699519	0.695195	0.693529	0.703572	0.704325	0.708816	0.692925	0.705759	0.735962	0.711521	0.702064	0.698565	0.707784	0.699554	0.687463	0.696241	0.690707	0.717053	0.696639	0.711561	0.711131	0.715164	0.694537	0.704765	0.692006	0.694118	0.709512	0.698380	0.694188	0.715203	0.703116	0.699581	0.700865	0.688111	0.712568	0.709591	0.713078	0.710145	0.722669	0.699558	0.687887	0.715949	0.704838	0.010570
recall0	0.868764	0.859400	0.874519	0.855896	0.860217	0.867103	0.866732	0.877336	0.868151	0.873889	0.871742	0.870629	0.869689	0.864679	0.875919	0.873727	0.864468	0.871767	0.873142	0.872347	0.870637	0.872770	0.872667	0.872974	0.877117	0.869390	0.878313	0.867104	0.872944	0.869865	0.881412	0.868501	0.875927	0.871147	0.868131	0.876622	0.873972	0.866174	0.878483	0.873154	0.874486	0.877477	0.864173	0.863503	0.866810	0.866992	0.870911	0.876819	0.886082	0.866647	0.871026	0.005614
recall_macro	0.785623	0.790885	0.784554	0.784454	0.791801	0.792426	0.791896	0.788859	0.783835	0.784542	0.782636	0.787101	0.787007	0.786748	0.784422	0.789743	0.800215	0.791644	0.787603	0.785456	0.789210	0.786162	0.780065	0.784607	0.783912	0.793221	0.787476	0.789333	0.792038	0.792514	0.787974	0.786633	0.783966	0.782632	0.788822	0.787501	0.784080	0.790688	0.790799	0.786368	0.787675	0.782794	0.788371	0.786547	0.789944	0.788568	0.796790	0.788188	0.786984	0.791298	0.787932	0.003743
precision1	0.643832	0.629811	0.652637	0.620155	0.628638	0.638275	0.637959	0.656379	0.632953	0.641986	0.643910	0.644054	0.643721	0.633758	0.648040	0.647059	0.640166	0.646121	0.644072	0.641582	0.641172	0.644578	0.637552	0.640210	0.653718	0.648011	0.648169	0.637650	0.647378	0.649044	0.654251	0.634193	0.643298	0.635284	0.635653	0.653889	0.644082	0.643645	0.653760	0.643191	0.647026	0.650140	0.630152	0.629973	0.633485	0.632939	0.647970	0.654631	0.668194	0.645500	0.642877	0.008622
precision0	0.896338	0.903362	0.894025	0.900382	0.904826	0.903874	0.903417	0.897464	0.898878	0.898103	0.894801	0.898247	0.897949	0.899888	0.896389	0.900525	0.909035	0.901804	0.899627	0.898449	0.901215	0.898033	0.895507	0.898503	0.894108	0.901603	0.899970	0.901446	0.902084	0.900745	0.899303	0.900931	0.897910	0.898039	0.902120	0.896992	0.896895	0.899990	0.900672	0.898913	0.899044	0.894768	0.902509	0.900786	0.903455	0.902548	0.905222	0.897374	0.894878	0.899959	0.899658	0.003071
precision_macro	0.770085	0.766587	0.773331	0.760268	0.766732	0.771074	0.770688	0.776922	0.765915	0.770044	0.769356	0.771150	0.770835	0.766823	0.772215	0.773792	0.774601	0.773962	0.771850	0.770015	0.771193	0.771306	0.766530	0.769356	0.773913	0.774807	0.774070	0.769548	0.774731	0.774894	0.776777	0.767562	0.770604	0.766662	0.768886	0.775440	0.770488	0.771817	0.777216	0.771052	0.773035	0.772454	0.766330	0.765380	0.768470	0.767743	0.776596	0.776002	0.781536	0.772729	0.771267	0.003826
f1score1	0.671879	0.672923	0.672960	0.663350	0.672692	0.675683	0.675200	0.677667	0.664573	0.667532	0.667799	0.672499	0.672661	0.669189	0.669731	0.675136	0.684730	0.677246	0.671819	0.668862	0.672833	0.670942	0.661567	0.667051	0.671703	0.680786	0.671531	0.672581	0.677759	0.680501	0.673792	0.667619	0.666764	0.663399	0.670555	0.675402	0.668197	0.677540	0.677540	0.670202	0.672870	0.668587	0.668830	0.667416	0.670929	0.669323	0.683284	0.676349	0.677897	0.678902	0.672336	0.005017
f1score0	0.882335	0.880833	0.884164	0.877576	0.881958	0.885107	0.884694	0.887286	0.883247	0.885830	0.883121	0.884222	0.883593	0.881932	0.886036	0.886924	0.886192	0.886531	0.886187	0.885205	0.885662	0.885221	0.883940	0.885554	0.885531	0.885203	0.889009	0.883941	0.887275	0.885036	0.890268	0.884419	0.886782	0.884389	0.884799	0.886690	0.885285	0.882758	0.889439	0.885846	0.886595	0.886038	0.882925	0.881751	0.884753	0.884413	0.887735	0.886977	0.890458	0.882989	0.885093	0.002335
f1score_macro	0.777107	0.776878	0.778562	0.770463	0.777325	0.780395	0.779947	0.782477	0.773910	0.776681	0.775460	0.778361	0.778127	0.775561	0.777884	0.781030	0.785461	0.781888	0.779003	0.777034	0.779248	0.778082	0.772753	0.776303	0.778617	0.782995	0.780270	0.778261	0.782517	0.782768	0.782030	0.776019	0.776773	0.773894	0.777677	0.781046	0.776741	0.780149	0.783490	0.778024	0.779733	0.777313	0.775878	0.774583	0.777841	0.776868	0.785510	0.781663	0.784178	0.780945	0.778714	0.003175
roc_auc	0.785623	0.790885	0.784554	0.784454	0.791801	0.792426	0.791896	0.788859	0.783835	0.784542	0.782636	0.787101	0.787007	0.786748	0.784422	0.789743	0.800215	0.791644	0.787603	0.785456	0.789210	0.786162	0.780065	0.784607	0.783912	0.793221	0.787476	0.789333	0.792038	0.792514	0.787974	0.786633	0.783966	0.782632	0.788822	0.787501	0.784080	0.790688	0.790799	0.786368	0.787675	0.782794	0.788371	0.786547	0.789944	0.788568	0.796790	0.788188	0.786984	0.791298	0.787932	0.003743
mcc	0.555490	0.556942	0.557773	0.544186	0.557970	0.563096	0.562184	0.565655	0.549458	0.554397	0.551831	0.558023	0.557608	0.553212	0.556503	0.563309	0.574244	0.565330	0.559231	0.555256	0.560114	0.557270	0.546427	0.553754	0.557735	0.567729	0.561385	0.558530	0.566505	0.567135	0.564641	0.553866	0.554409	0.549062	0.557351	0.562812	0.554402	0.562189	0.567853	0.557209	0.560519	0.555152	0.554263	0.551520	0.558001	0.555922	0.573031	0.564059	0.568494	0.563722	0.558935	0.006271
spd	0.112192	0.107840	0.108325	0.110987	0.111526	0.116754	0.130069	0.105577	0.112644	0.106097	0.109517	0.101378	0.103452	0.124858	0.118075	0.100924	0.123907	0.097147	0.114170	0.126614	0.113014	0.092952	0.102519	0.112304	0.099260	0.113536	0.114677	0.113787	0.128884	0.110119	0.092202	0.106119	0.108670	0.124708	0.107954	0.110389	0.106820	0.093860	0.117771	0.099813	0.109303	0.100820	0.102354	0.097862	0.105385	0.107095	0.115264	0.101225	0.101564	0.116343	0.109373	0.008979

aod	0.038874	0.038176	0.045865	0.039827	0.036444	0.047762	0.080059	0.038822	0.046276	0.041740	0.036970	0.035374	0.029524	0.065148	0.051546	0.035140	0.048429	0.026644	0.048255	0.080030	0.045048	0.026722	0.033684	0.034170	0.035488	0.035917	0.042461	0.031196	0.065434	0.035525	0.025514	0.032061	0.042122	0.061359	0.044775	0.053300	0.051745	0.042009	0.041363	0.038157	0.044291	0.050739	0.025049	0.030091	0.046611	0.029797	0.043209	0.031900	0.035871	0.032599	0.041982	0.012090
eod	0.015051	0.015473	0.041224	0.016844	0.018012	0.033016	0.090662	0.025266	0.030062	0.030271	0.012340	0.023605	0.004759	0.055791	0.041056	0.014334	0.030143	0.006198	0.038734	0.089135	0.028980	0.003582	0.015993	0.006594	0.020434	0.009916	0.021700	0.002428	0.059872	0.009413	0.013314	0.003780	0.018610	0.060155	0.036869	0.048954	0.041872	0.037327	0.024319	0.028164	0.035157	0.044972	0.005260	0.023907	0.032834	0.009181	0.021421	0.022302	0.035772	0.000288	0.027107	0.019722
